product,process_id,bom_id
000IABW056,000IA116,IA000041
000IAVT001,000IA081,IA000026
0008WNV323,153XT098,8W000A01
000IABW072,000IA143,IA000060
000IABW108,000IA220,IA000097
000IABW045,000IA089,IA000031
014OLNI034,014OL001,OL014602
020YUNI150,020YU001,YU020603
012Y1NI054,012Y1002,Y1012604
008OKNI049,008OK001,OK008601
014OANI058,014OA002,OA014603
008OKNI065,008OK001,OK008601
000IABW142,000IA317,IA000140
012Y3NI158,012Y3001,Y3012604
000IAVT006,000IA250,IA000118
020YUNI183,020YU002,YU020604
020YUNI181,020YU002,YU020604
020YUNI108,020YU002,YU020604
020YUNI224,020YU002,YU020604
020YUNI236,020YU001,YU020603
010YKNI046,010YK024,YK010632
020YUNI124,020YU002,YU020604
020YUNI252,020YU002,YU020604
020YUNI216,020YU002,YU020604
020YUNI263,020YU002,YU020604
020YUNI267,020YU001,YU020603
020YUNI271,020YU001,YU020603
008YKNI091,008YK046,YK008646
012Y3NI166,012Y3001,Y3012604
012Y3NI184,012Y3002,Y3012603
020YUNI280,020YU002,YU020604
020YUNI139,020YU002,YU020604
0008WNV501,0008WA401,8W000A01
020YUNI289,020YU006,YU020611
012Y3NI131,012Y3001,Y3012604
010YKNI052,010YK031,YK010634
020YUNI295,020YU002,YU020604
020YUNI244,020YU002,YU020604
008YKNI092,008YK046,YK008646
014OLNI044,014OL001,OL014602
020YUNI305,020YU002,YU020604
0282JHQ034,0282J028,2J028035
020YUNI319,020YU001,YU020603
020YUNI325,020YU002,YU020604
012Y3NI194,012Y3002,Y3012603
008OKNI077,008OK001,OK008601
020YUNI339,020YU006,YU020611
345XTNV066,345XT046,XT345068
020YUNI341,020YU002,YU020604
012Y3NI196,012Y3002,Y3012603
020YUNI232,020YU001,YU020603
000IABW144,000IA333,IA000158
020YUNI345,020YU002,YU020604
000SNV295,0086A137,6A008190
000IACM233ENG,000IAE22ENG,IA000E14
0008WSMT001,0008WSMT001,8W000A01
0008WDAE001,0008WDAE001,8W000A01
0008WLAS001,0008WLAS001,8W000A01
0008WDAF001,0008WDAF001,8W000A01
0008WPRT005,0008WPRT001,8W000A01
0008WPRT001,0008WPRT001,8W000A01
012Y3NI206,012Y3001,Y3012604
016D5AW011,016D5012,D5016027
014OLNI038,014OL001,OL014602
020YUNI112,020YU006,YU020611
020YUNI179,020YU002,YU020604
345XTNV086,345XT065,XT345091
014OANI061,014OA002,OA014603
012Y1NI051,012Y1002,Y1012604
000IABW115,000IA235,IA000114
020YUNI307,020YU002,YU020604
014OANI071,014OA002,OA014603
012Y3NI128,012Y3001,Y3012604
000IABW094,000IA193,IA000090
020YUNI202,020YU002,YU020604
020YUNI130,020YU002,YU020604
012Y3NI198,012Y3002,Y3012603
132X2NV209,132X2364,X2132430
000IABW052,000IA045,IA000018
020YUNI158,020YU006,YU020611
020YUNI356,020YU002,YU020604
000IABW040,000IA085,IA000025
0086ANV219,0086A181,6A008250
012Y3NI120,012Y3001,Y3012604
012Y3NI136,012Y3002,Y3012603
000IAQR039,000IA298,IA000143
020YUNI364,020YU006,YU020611
020YUNI368,020YU006,YU020611
020YUNI110,020YU006,YU020611
000IABW075,000IA149,IA000065
020YUNI333,020YU002,YU020604
020YUNI104,020YU006,YU020611
0086ANV213,0086A175,6A008242
0086ANV216,0086A178,6A008245
000IAQR004,000IA281,IA000045
008OKNI089,008OK001,OK008601
000IABW015,000IA039,IA000017
000IABW143,000IA325,IA000122
008OKNI093,008OK001,OK008601
0086ANV203,0086A167,6A008233
0086ANV225,0086A188,6A008257
0086ANV214,0086A176,6A008243
008OKNI039,008OK001,OK008601
000IAQR012,000IA184,IA000087
096EFBU003,096EF044,EF096045
020YUNI331,020YU002,YU020604
012Y3NI224,012Y3001,Y3012604
012Y3NI218,012Y3002,Y3012603
012Y3NI149,012Y3002,Y3012603
020YUNI396,020YU001,YU020603
000IAQR014,000IA203,IA000096
078EABU005,078EA005,EA078005
0086BEU017,0086B033,6B008041
010YKNI054,010YK025,YK010630
008OKNI040,008OK001,OK008601
153XTNV148,153XT189,XT153245
008YQAB104,008YQ188,YQ008223
060EMAB004,060EM004,EM060004
088Y2MF002,088Y2003,Y2088004
016OFNI031,016OF004,OF016606
020YUNI313,020YU006,YU020611
0086ANV208,0086A138,6A008191
0086ANV209,0086A137,6A008190
0086ANV228,0086A172,6A008239
020YUNI254,020YU002,YU020604
012Y3NI148,012Y3002,Y3012603
012Y3NI157,012Y3001,Y3012604
132X2NV224,132X23382,X2132451
084UCYZ001,084UC190,CC084192
096ELAS044,096EL079,EL096087
096ELAS039,096EL066,EL096073
048MABU018,048MA269,MA048040
000IABW074,000IA147,IA000064
016OFNI016,016OF003,OF016610
020YUNI133,020YU006,YU020611
020YUNI276,020YU002,YU020604
